,$,フリガナ,フリガナ2,属性ラベル,,,Word,フリガナ,フリガナ2,属性ラベル
,,,,,,,オリンピック,オリンピック,,その他
,,,,,,,パラリンピック,パラリンピック,,その他
,,,,,,,)陸上競技連盟,リクジョウキョウギレンメイ,リクジョーキョーギレンメー,組織名
,,,,,,,ITMS,アイティーエムエス,,その他
,,,,,,,DDC,ディーディーシー,,その他
,,,,,,,ITSM,アイティーエスエム,,その他
,,,,,,,インプリメンテーション,インプリ,,その他
,,,,,,,クレプトマニア,クレプトマニア,,その他
,,,,,,,摂食障害,セッショクショウガイ,セッショクショーガイ,その他
,,,,,,,エラスティック,エラスティック,,その他
,,,,,,,splunk,スプランク,,組織名
,,,,,,,ビッグデータ,ビッグデータ,,その他
,,,,,,,MylogStar,マイログスター,ログスター,製品名
,,,,,,,ランナーズ,ランナーズ,,製品名
,,,,,,,MUFG,エムユーエフジー,,組織名
,,,,,,,上野輸送,ウエノユソー,,組織名
,,,,,,,協和建設工業,キョーワケンセツコーギョー,,組織名
,,,,,,,トヨタ,トヨタ,,組織名
,,,,,,,マラソン,マラソン,,その他
,,,,,,,合食,ゴーショク,,組織名
,,,,,,,プラットフォーム,プラットフォーム,,その他
,,,,,,,不満ファインダー,フマンファインダー,,製品名
,,,,,,,DIC,ディーアイシー,,組織名
,,,,,,,神戸市,コーベシ,,地名
,,,,,,,アーバンイノベーション神戸,アーバンイノベーションコーベ,,その他
,,,,,,,神戸市役所,コーベシヤクショ,,組織名
,,,,,,,Snowflake,スノーフレーク,,組織名
,,,,,,,アイタスクラウド,アイタスクラウド,,製品名
,,,,,,,Fuman Platfrom,フマンプラットフォーム,,製品名
,,,,,,,ウエルシア,ウエルシア,,組織名
,,,,,,,キラーコンテンツ,キラーコンテンツ,,その他
,,,,,,,月刊陸上競技,ゲッカンリクジョウキョウギ,ゲッカンリクジョーキョーギ,製品名
,,,,,,,陸上競技マガジン,リクジョウキョウギマガジン,リクジョーキョーギマガジン,製品名
,,,,,,,千葉工業大学,チバコウギョウダイガク,チバコウ,組織名
,,,,,,,マックスバリュ東海,マックスバリュトーカイ,,組織名
,,,,,,,ホノルル,ホノルル,,地名
,,,,,,,デジプロ,デジプロ,,組織名
,,,,,,,味の素,アジノモト,,組織名
,,,,,,,コロラド,コロラド,,地名
,,,,,,,村松達也,ムラマツタツヤ,,人名
,,,,,,,iroots,アイルーツ,,組織名
,,,,,,,ハワイ,ハワイ,,地名
,,,,,,,新潟,ニイガタ,ニーガタ,地名
,,,,,,,Honda,ホンダ,,組織名
,,,,,,,善光寺,ゼンコウジ,ぜんこーじ,その他
,,,,,,,BCC,ビーシーシー,,組織名
,,,,,,,勤革時,キンカクジ,,製品名
,,,,,,,キングオブタイム,キングオブタイム,,製品名
,,,,,,,ブラックロック,ブラックロック,,組織名
,,,,,,,Notion,ノーション,,製品名
,,,,,,,休眠リード,休眠リード,,その他
,,,,,,,VTI,ヴィティアイ,,その他
,,,,,,,Alchemy,アルケミー,,組織名
,,,,,,,イロドリ,イロドリ,,組織名
,,,,,,,RPC,アールピーシー,,その他
,,,,,,,DOX,ドックス,,その他
,,,,,,,CV,シーブイ,,その他
,,,,,,,PocketZwork,ポケットゼットワーク,,その他
,,,,,,,ケットネットワークドットインク,ケットネットワークドットインク,,組織名
,,,,,,,レべシェア,レべシェア,,その他
,,,,,,,Winny,ウィニー,,組織名
,,,,,,,金子勇,カネコイサム,,人名
,,,,,,,HEART CLOSET,ハートクローゼット,,組織名
,,,,,,,村上臣,ムラカミシン,,人名
,,,,,,,NewsPicks,ニュースピックス,,組織名
,,,,,,,ISOG,アイエスオージー,,組織名
,,,,,,,イーサップラボ,イーサップラボ,,組織名
,,,,,,,Player!,プレイヤー,,製品名
,,,,,,,Compound Labs,コンパウンドラボ,,組織名
,,,,,,,名古屋高校,ナゴヤコウコウ,,組織名
,,,,,,,青森山田,アオモリヤマダ,,組織名
,,,,,,,青森山田高等学校,アオモリヤマダコウトウガッコウ,,組織名
,,,,,,,Aave,アーベ,,その他
,,,,,,,Aave Arc,アーベアーク,,その他
,,,,,,,ホワイトラベル,ホワイトラベル,,その他
,,,,,,,ONE-INCH,ワンインチ,,組織名
,,,,,,,SEC,エスイーシー,,組織名
,,,,,,,CoDMON,コドモン,,製品名
,,,,,,,FC.ISE-SHIMA,エフシーイセシマ,,組織名
,,,,,,,Liquity,リクイティ,,その他
,,,,,,,USTC,ユーエスティーシー,,その他
,,,,,,,リスティング,リスティング,,その他
,,,,,,,ヴェルスパ大分,ヴェルスパオオイタ,,組織名
,,,,,,,JFL,ジェーエフエル,ジェイエフエル,組織名
,,,,,,,P2P,ピーツーピー,,その他
,,,,,,,GKLine,ジーケーライン,,組織名
,,,,,,,柴崎岳,シバサキガク,,人名
,,,,,,,ユニバーサル・スタジオ・ジャパン,ユニバーサルスタジオジャパン,ユーエスジェイ,組織名
,,,,,,,鹿児島レブナイズ,カゴシマレブナイズ,,組織名
,,,,,,, UPSIDER,アップサイダー,,組織名
,,,,,,,Meety,ミーティー,,組織名
,,,,,,,習志野,ナラシノ,,地名
,,,,,,,奈良高校,ナラコウコウ,,組織名
,,,,,,,バリューアップ,バリューアップ,,組織名
,,,,,,,ヤマト運輸,ヤマトウンユ,,組織名
,,,,,,,佐川急便,サガワキュービン,,組織名
,,,,,,,日本郵政,ニッポンユーセー,,組織名
,,,,,,,TODOCU,トドク,,製品名
,,,,,,,トドクサポーター,トドクサポーター,,製品名
,,,,,,,シスコ,シスコ,,組織名
,,,,,,,TDC,ティーディーシー,,組織名
,,,,,,,小林製薬,コバヤシセイヤク,,組織名
,,,,,,,メディカルノート,メディカルノート,,組織名
,,,,,,,Monero,モネロ,,その他
,,,,,,,NTTデータNCB,エヌティーティーデータエヌシービー,,組織名
,,,,,,,ESDSA,イーシーディーエスエー,,その他
,,,,,,,RSA,アールエスエー,,その他
,,,,,,,西日本シティ銀行,ニシニホンシティギンコウ,,組織名
,,,,,,,エクセルエンジニアリング,エクセルエンジニアリング,,組織名
,,,,,,,NewsTV,ニュースティービー,,組織名
,,,,,,,docoですcar,ドコデスカー,,製品名
,,,,,,,ベクトル,ベクトル,,組織名
,,,,,,,Gビズ,ギガビズ,,その他
,,,,,,,サイバーエージェント,サイバーエージェント,,組織名
,,,,,,,みまもーる,ミマモール,,製品名
,,,,,,,高松事業所,タカマツジギョウショ,,組織名
,,,,,,,長野事業所,ナガノジギョウショ,,組織名
,,,,,,,マージン,マージン,,その他
,,,,,,,ニッポン高度紙工業,ニッポンコウドシコウギョウ,,組織名
,,,,,,,アルプスシステムインテグレーション,アルシー,,組織名
,,,,,,,IC DeFi,アイシーディファイ,,その他
,,,,,,,Dev,デブ,,その他
,,,,,,,Axie,アクシー,,その他
,,,,,,,Aztec,アズテック,,組織名
,,,,,,,Hudson,ハドソン,,人名
,,,,,,,RRAI,ライ,,その他
,,,,,,,EB,イービー,,その他
,,,,,,,Reflexer,リフリクサー,,その他
,,,,,,,TODOCUクラウド,トドククラウド,,製品名
,,,,,,,エコ配,エコハイ,,組織名
,,,,,,,届く便,トドクビン,,製品名
,,,,,,,平和テクノシステム,ヘイワテクノシステム,,組織名
,,,,,,,昭栄物流,,,組織名
,,,,,,,みちのく銀行,ミチノクギンコウ,,組織名
,,,,,,,Styleflow,スタイルフロー,,製品名
,,,,,,,Yuiコール,ユイコール,,製品名
,,,,,,,SATORI,サトリ,,組織名
,,,,,,,Trustpro,トラストプロ,,製品名
,,,,,,,パラマウントベッド,パラマウントベッド,,組織名
,,,,,,,香港,ホンコン,,地名
,,,,,,,高柳 慎也,タカヤナギシンヤ,,人名
,,,,,,,207,ニーマルナナ,,組織名
,,,,,,,日清紡ホールディングス,ニッシンボウホールディングス,ニッシンボー,組織名
,,,,,,,RFルーカス,アールエフルーカス,,組織名
